Street , Type, Room, Occupants,Appliance,Floor,Occupancy,Summer,Winter
Hoover , Apartment, 1, 1, 2, 0, 85,108, 129.6
Figueroa , Apartment, 3, 3, 7, 1, 96,193.5, 116.1
Figueroa , Bungalow, 2, 3, 4, 1, 88,285, 171
Orchard , Bungalow, 2, 3, 5, 1, 100,211.5, 126.9
Jefferson , Bungalow, 3, 5, 6, 1, 93,249, 149.4
Orchard , Bungalow, 3, 5, 7, 0, 93,175, 210
Menlo , Bungalow, 1, 2, 2, 1, 102,235.5, 141.3
TwentyThird , Bungalow, 2, 6, 4, 0, 100,105, 126
Vermont , Bungalow, 3, 5, 8, 0, 85,148, 177.6
Vermont , Bungalow, 1, 1, 4, 1, 90,294, 176.4
Vermont , Apartment, 3, 5, 8, 0, 105,131, 157.2
Jefferson , Apartment, 2, 4, 5, 1, 105,217.5, 130.5
Adams , Bungalow, 1, 2, 2, 1, 99,214.5, 128.7
ThirtyWest , Apartment, 2, 4, 6, 0, 86,153, 183.6
ThirtyWest , Bungalow, 1, 2, 2, 0, 86,176, 211.2
Adams , Bungalow, 1, 1, 2, 0, 88,110, 132
Menlo , Bungalow, 3, 4, 6, 1, 85,216, 129.6
Menlo , Bungalow, 1, 2, 4, 1, 93,273, 163.8
Vermont , Bungalow, 2, 3, 5, 0, 88,127, 152.4
Jefferson , Apartment, 1, 1, 2, 0, 86,151, 181.2
ThirtyWest , Apartment, 1, 1, 3, 1, 99,168, 100.8
Jefferson , Apartment, 1, 1, 2, 1, 104,187.5, 112.5
TwentyThird , Apartment, 1, 1, 3, 1, 91,172.5, 103.5
TwentyThird , Apartment, 3, 5, 7, 0, 101,120, 144
TwentyThird , Apartment, 3, 6, 6, 1, 93,232.5, 139.5
Menlo , Apartment, 3, 5, 6, 0, 92,200, 240
Orchard , Apartment, 3, 5, 7, 1, 96,162, 97.2
Hoover , Apartment, 1, 2, 3, 1, 99,159, 95.4
ThirtyWest , Bungalow, 1, 2, 3, 0, 90,162, 194.4
Figueroa , Bungalow, 3, 4, 7, 0, 89,127, 152.4
TwentyThird , Bungalow, 2, 4, 5, 1, 99,228, 136.8
Ellendale , Bungalow, 1, 2, 2, 1, 87,267, 160.2
Jefferson , Bungalow, 1, 2, 2, 0, 89,150, 180
Hoover , Apartment, 1, 1, 4, 1, 92,291, 174.6
Ellendale , Bungalow, 3, 4, 6, 0, 99,137, 164.4
ThirtyWest , Bungalow, 3, 3, 6, 1, 105,253.5, 152.1
TwentyThird , Apartment, 2, 5, 5, 1, 97,258, 154.8
Hoover , Apartment, 2, 6, 5, 1, 90,264, 158.4
Jefferson , Apartment, 1, 1, 4, 1, 85,231, 138.6
Adams , Apartment, 2, 4, 4, 0, 95,161, 193.2
Ellendale , Bungalow, 3, 5, 7, 0, 97,126, 151.2
Adams , Apartment, 1, 2, 3, 0, 85,192, 230.4
Vermont , Apartment, 1, 1, 3, 0, 86,181, 217.2
Hoover , Apartment, 1, 2, 2, 1, 104,169.5, 101.7
Vermont , Bungalow, 3, 5, 6, 0, 88,141, 169.2
Figueroa , Bungalow, 2, 5, 5, 0, 104,124, 148.8
Vermont , Bungalow, 3, 4, 8, 0, 85,161, 193.2
Adams , Bungalow, 3, 3, 6, 1, 87,291, 174.6
ThirtyWest , Apartment, 3, 6, 7, 0, 103,150, 180
ThirtyWest , Apartment, 1, 1, 2, 0, 88,169, 202.8
TwentyThird , Bungalow, 1, 1, 2, 0, 89,108, 129.6
Jefferson , Bungalow, 2, 4, 5, 1, 90,228, 136.8
Adams , Apartment, 2, 6, 4, 1, 102,217.5, 130.5
Hoover , Bungalow, 2, 5, 6, 0, 103,147, 176.4
Orchard , Bungalow, 2, 3, 4, 1, 96,154.5, 92.7
Orchard , Bungalow, 1, 1, 2, 1, 93,289.5, 173.7
Vermont , Apartment, 2, 3, 4, 0, 98,125, 150
Ellendale , Apartment, 3, 4, 7, 1, 87,222, 133.2
Menlo , Bungalow, 1, 1, 4, 1, 94,177, 106.2
Adams , Bungalow, 3, 3, 7, 0, 89,193, 231.6
Orchard , Bungalow, 3, 6, 8, 0, 105,114, 136.8
Ellendale , Apartment, 2, 3, 4, 1, 96,216, 129.6
Adams , Bungalow, 3, 6, 7, 1, 94,199.5, 119.7
Adams , Bungalow, 2, 6, 5, 1, 93,184.5, 110.7
Jefferson , Bungalow, 1, 2, 3, 0, 94,185, 222
Orchard , Bungalow, 1, 2, 2, 1, 102,177, 106.2
Adams , Apartment, 2, 4, 4, 0, 95,182, 218.4
Ellendale , Apartment, 2, 4, 6, 1, 99,165, 99
Menlo , Apartment, 3, 5, 8, 0, 92,140, 168
Jefferson , Apartment, 3, 3, 6, 0, 104,178, 213.6
ThirtyWest , Apartment, 2, 4, 6, 0, 89,187, 224.4
Menlo , Apartment, 3, 3, 8, 1, 102,295.5, 177.3
TwentyThird , Bungalow, 2, 5, 4, 1, 87,165, 99
Orchard , Bungalow, 3, 5, 8, 1, 100,270, 162
Vermont , Apartment, 2, 3, 5, 1, 92,181.5, 108.9
Menlo , Apartment, 2, 4, 5, 0, 102,151, 181.2
Hoover , Apartment, 1, 2, 4, 0, 102,103, 123.6
Jefferson , Apartment, 2, 5, 6, 0, 85,131, 157.2
ThirtyWest , Bungalow, 2, 3, 4, 1, 95,253.5, 152.1
TwentyThird , Bungalow, 2, 6, 5, 1, 103,264, 158.4
Figueroa , Apartment, 2, 5, 5, 0, 89,170, 204
ThirtyWest , Apartment, 2, 3, 5, 0, 94,114, 136.8
Hoover , Apartment, 2, 3, 4, 0, 85,104, 124.8
Menlo , Apartment, 2, 5, 5, 1, 96,237, 142.2
TwentyThird , Apartment, 3, 5, 6, 1, 92,192, 115.2
Jefferson , Apartment, 3, 6, 8, 1, 85,277.5, 166.5
TwentyThird , Apartment, 3, 6, 6, 0, 104,168, 201.6
Adams , Bungalow, 3, 3, 6, 0, 99,122, 146.4
Orchard , Apartment, 2, 3, 5, 0, 101,191, 229.2
ThirtyWest , Apartment, 3, 5, 8, 1, 102,276, 165.6
Figueroa , Apartment, 1, 2, 2, 0, 95,171, 205.2
Hoover , Apartment, 1, 1, 4, 0, 95,125, 150
Menlo , Bungalow, 1, 1, 4, 0, 94,165, 198
Ellendale , Bungalow, 1, 2, 2, 0, 94,132, 158.4
Hoover , Apartment, 2, 4, 6, 1, 96,282, 169.2
Vermont , Bungalow, 1, 1, 2, 1, 100,232.5, 139.5
Adams , Bungalow, 2, 4, 6, 0, 88,147, 176.4
Figueroa , Apartment, 1, 1, 3, 0, 97,145, 174
Jefferson , Apartment, 1, 1, 4, 1, 104,271.5, 162.9
TwentyThird , Apartment, 2, 5, 5, 1, 91,256.5, 153.9
Hoover , Apartment, 3, 3, 8, 0, 99,193, 231.6
Adams , Apartment, 3, 4, 8, 1, 102,163.5, 98.1
Ellendale , Apartment, 1, 2, 4, 1, 101,165, 99
Adams , Bungalow, 2, 6, 5, 0, 101,142, 170.4
Jefferson , Bungalow, 1, 2, 2, 0, 91,181, 217.2
ThirtyWest , Bungalow, 2, 5, 4, 0, 98,200, 240
Ellendale , Bungalow, 3, 3, 7, 1, 94,276, 165.6
Menlo , Bungalow, 2, 4, 4, 0, 105,139, 166.8
Menlo , Bungalow, 1, 1, 4, 1, 95,225, 135
Hoover , Bungalow, 1, 2, 2, 1, 105,225, 135
Vermont , Bungalow, 1, 1, 2, 1, 95,273, 163.8
Hoover , Bungalow, 2, 3, 5, 1, 105,169.5, 101.7
Adams , Bungalow, 2, 5, 6, 0, 92,139, 166.8
Hoover , Apartment, 1, 1, 2, 1, 89,244.5, 146.7
Hoover , Apartment, 3, 4, 7, 0, 94,125, 150
Vermont , Bungalow, 3, 6, 7, 1, 93,196.5, 117.9
Vermont , Bungalow, 3, 5, 6, 0, 95,188, 225.6
TwentyThird , Bungalow, 2, 5, 5, 1, 97,262.5, 157.5
Menlo , Bungalow, 3, 6, 8, 1, 97,186, 111.6
Menlo , Bungalow, 1, 2, 2, 1, 104,151.5, 90.9
Hoover , Bungalow, 2, 6, 6, 0, 105,147, 176.4
Jefferson , Bungalow, 1, 2, 4, 1, 99,238.5, 143.1
ThirtyWest , Bungalow, 2, 5, 4, 1, 90,244.5, 146.7
Vermont , Bungalow, 3, 6, 8, 1, 97,229.5, 137.7
Jefferson , Bungalow, 1, 2, 3, 1, 93,228, 136.8
Adams , Bungalow, 1, 1, 3, 0, 85,193, 231.6
Adams , Apartment, 1, 2, 2, 1, 93,255, 153
Jefferson , Apartment, 1, 1, 3, 1, 94,156, 93.6
Adams , Bungalow, 1, 1, 2, 1, 101,298.5, 179.1
Adams , Apartment, 3, 3, 8, 1, 89,214.5, 128.7
Figueroa , Apartment, 2, 6, 6, 1, 99,178.5, 107.1
Orchard , Apartment, 2, 4, 5, 1, 98,286.5, 171.9
Jefferson , Bungalow, 1, 2, 2, 1, 85,280.5, 168.3
Jefferson , Bungalow, 3, 6, 7, 0, 86,138, 165.6
Adams , Bungalow, 1, 1, 2, 0, 101,123, 147.6
Adams , Bungalow, 2, 4, 6, 0, 90,176, 211.2
Menlo , Bungalow, 1, 2, 2, 0, 88,170, 204
Menlo , Apartment, 1, 2, 3, 1, 88,216, 129.6
Jefferson , Apartment, 1, 2, 2, 1, 89,231, 138.6
Menlo , Apartment, 1, 1, 3, 1, 89,177, 106.2
Ellendale , Apartment, 3, 4, 8, 1, 102,247.5, 148.5
Orchard , Apartment, 3, 5, 6, 1, 93,192, 115.2
Adams , Apartment, 3, 5, 6, 1, 88,223.5, 134.1
Hoover , Bungalow, 1, 2, 3, 0, 87,137, 164.4
Adams , Bungalow, 3, 4, 6, 1, 104,252, 151.2
Ellendale , Apartment, 1, 2, 4, 1, 86,202.5, 121.5
Orchard , Apartment, 3, 5, 6, 1, 89,241.5, 144.9
Figueroa , Apartment, 1, 1, 4, 1, 88,175.5, 105.3
Orchard , Bungalow, 1, 2, 3, 0, 89,139, 166.8
ThirtyWest , Apartment, 1, 1, 2, 0, 104,143, 171.6
ThirtyWest , Apartment, 3, 4, 6, 0, 104,180, 216
Orchard , Bungalow, 2, 6, 6, 0, 105,119, 142.8
ThirtyWest , Bungalow, 2, 4, 5, 1, 86,286.5, 171.9
Jefferson , Apartment, 1, 2, 2, 1, 100,199.5, 119.7
Ellendale , Apartment, 3, 6, 8, 1, 92,294, 176.4
Orchard , Bungalow, 2, 5, 6, 1, 96,198, 118.8
Hoover , Apartment, 2, 5, 5, 0, 98,129, 154.8
Hoover , Apartment, 1, 2, 2, 0, 98,139, 166.8
Jefferson , Apartment, 3, 3, 7, 1, 86,228, 136.8
Adams , Bungalow, 2, 3, 4, 0, 102,126, 151.2
ThirtyWest , Bungalow, 2, 3, 4, 0, 96,125, 150
Figueroa , Bungalow, 3, 5, 6, 1, 95,169.5, 101.7
Orchard , Apartment, 3, 4, 7, 1, 98,178.5, 107.1
TwentyThird , Apartment, 3, 5, 7, 0, 101,148, 177.6
ThirtyWest , Apartment, 2, 3, 6, 1, 92,180, 108
Figueroa , Bungalow, 2, 3, 4, 0, 96,175, 210
Orchard , Bungalow, 3, 4, 8, 0, 91,170, 204
Jefferson , Bungalow, 2, 6, 6, 1, 88,183, 109.8
Menlo , Bungalow, 3, 5, 6, 0, 97,164, 196.8
ThirtyWest , Apartment, 3, 4, 7, 0, 85,161, 193.2
ThirtyWest , Apartment, 3, 4, 8, 0, 88,176, 211.2
TwentyThird , Bungalow, 2, 6, 5, 0, 86,190, 228
Vermont , Bungalow, 3, 5, 7, 1, 89,292.5, 175.5
ThirtyWest , Bungalow, 2, 4, 6, 1, 102,261, 156.6
Vermont , Apartment, 3, 3, 6, 1, 99,289.5, 173.7
Adams , Bungalow, 2, 6, 4, 1, 88,223.5, 134.1
Ellendale , Apartment, 2, 3, 4, 0, 88,144, 172.8
ThirtyWest , Apartment, 2, 4, 4, 1, 87,201, 120.6
Figueroa , Bungalow, 2, 6, 6, 0, 95,187, 224.4
Menlo , Apartment, 2, 5, 5, 0, 105,147, 176.4
Vermont , Apartment, 3, 4, 7, 0, 100,188, 225.6
Orchard , Apartment, 1, 1, 4, 1, 96,162, 97.2
Hoover , Apartment, 2, 3, 6, 1, 99,205.5, 123.3
TwentyThird , Apartment, 2, 3, 4, 0, 87,162, 194.4
Jefferson , Apartment, 3, 4, 7, 1, 97,174, 104.4
Orchard , Apartment, 2, 4, 5, 0, 97,167, 200.4
Menlo , Apartment, 2, 5, 6, 1, 90,270, 162
Adams , Apartment, 3, 4, 7, 1, 96,199.5, 119.7
Jefferson , Apartment, 3, 4, 6, 1, 93,246, 147.6
Ellendale , Apartment, 1, 1, 2, 0, 87,102, 122.4
Hoover , Apartment, 2, 6, 4, 1, 89,189, 113.4
Hoover , Apartment, 2, 4, 5, 0, 101,197, 236.4
Hoover , Apartment, 2, 3, 4, 1, 99,210, 126
Orchard , Apartment, 3, 4, 6, 1, 87,277.5, 166.5
TwentyThird , Bungalow, 1, 1, 3, 1, 101,198, 118.8
Adams , Bungalow, 2, 5, 6, 1, 90,231, 138.6
Hoover , Apartment, 3, 6, 7, 1, 90,193.5, 116.1
Vermont , Bungalow, 3, 5, 8, 0, 97,170, 204
Jefferson , Bungalow, 2, 5, 5, 1, 85,207, 124.2
TwentyThird , Apartment, 3, 6, 7, 1, 92,232.5, 139.5
Menlo , Apartment, 2, 3, 5, 1, 102,294, 176.4
Menlo , Apartment, 2, 4, 4, 0, 90,151, 181.2
Adams , Bungalow, 3, 6, 8, 1, 87,223.5, 134.1
Vermont , Bungalow, 1, 2, 2, 0, 99,113, 135.6
Adams , Bungalow, 3, 6, 6, 0, 102,152, 182.4
Orchard , Bungalow, 3, 5, 8, 1, 97,250.5, 150.3
Figueroa , Apartment, 2, 3, 5, 0, 93,200, 240
Ellendale , Apartment, 3, 5, 6, 1, 92,187.5, 112.5
Orchard , Bungalow, 2, 3, 5, 1, 93,195, 117
Jefferson , Bungalow, 2, 3, 4, 1, 103,208.5, 125.1
Figueroa , Bungalow, 1, 1, 2, 1, 94,234, 140.4
Vermont , Apartment, 2, 6, 6, 0, 105,139, 166.8
Ellendale , Apartment, 2, 5, 5, 1, 88,184.5, 110.7
Figueroa , Apartment, 1, 2, 3, 1, 86,271.5, 162.9
Hoover , Apartment, 3, 5, 8, 1, 105,295.5, 177.3
Jefferson , Bungalow, 2, 3, 5, 1, 85,171, 102.6
ThirtyWest , Bungalow, 1, 2, 3, 0, 97,124, 148.8
Menlo , Bungalow, 3, 3, 6, 0, 104,125, 150
Vermont , Apartment, 2, 6, 6, 1, 95,195, 117
Hoover , Apartment, 1, 1, 2, 1, 104,201, 120.6
Orchard , Apartment, 1, 1, 4, 0, 85,135, 162
TwentyThird , Apartment, 1, 1, 2, 0, 100,133, 159.6
Ellendale , Apartment, 2, 3, 5, 1, 85,157.5, 94.5
Hoover , Apartment, 2, 4, 4, 0, 105,114, 136.8
Figueroa , Bungalow, 2, 3, 4, 0, 90,182, 218.4
Menlo , Apartment, 1, 1, 2, 1, 102,168, 100.8
Adams , Apartment, 1, 2, 3, 0, 92,142, 170.4
ThirtyWest , Apartment, 1, 2, 3, 1, 104,232.5, 139.5
Orchard , Apartment, 2, 3, 5, 1, 99,279, 167.4
Orchard , Bungalow, 1, 1, 4, 1, 94,175.5, 105.3
Hoover , Bungalow, 3, 6, 8, 0, 98,160, 192
TwentyThird , Bungalow, 2, 5, 5, 0, 100,196, 235.2
Jefferson , Apartment, 3, 6, 6, 0, 89,152, 182.4
Orchard , Apartment, 2, 5, 4, 0, 88,170, 204
Adams , Bungalow, 3, 6, 6, 1, 93,198, 118.8
Hoover , Bungalow, 3, 3, 7, 0, 102,111, 133.2
ThirtyWest , Bungalow, 3, 6, 6, 1, 97,162, 97.2
Adams , Bungalow, 1, 2, 2, 0, 87,150, 180
Jefferson , Apartment, 3, 4, 6, 0, 98,132, 158.4
Adams , Bungalow, 3, 5, 7, 1, 85,171, 102.6
ThirtyWest , Bungalow, 2, 3, 6, 1, 98,250.5, 150.3
Jefferson , Bungalow, 1, 1, 3, 1, 99,163.5, 98.1
Adams , Apartment, 2, 4, 6, 0, 99,108, 129.6
TwentyThird , Apartment, 1, 1, 3, 1, 86,291, 174.6
Hoover , Apartment, 3, 6, 8, 0, 98,127, 152.4
Figueroa , Apartment, 3, 4, 6, 1, 92,241.5, 144.9
Menlo , Apartment, 1, 1, 4, 0, 89,148, 177.6
Ellendale , Bungalow, 2, 4, 6, 1, 85,237, 142.2
ThirtyWest , Bungalow, 3, 4, 7, 1, 102,166.5, 99.9
TwentyThird , Apartment, 2, 5, 5, 0, 85,180, 216
Jefferson , Apartment, 1, 1, 2, 1, 94,259.5, 155.7
Figueroa , Apartment, 3, 6, 7, 0, 85,124, 148.8
Menlo , Apartment, 2, 4, 6, 1, 90,204, 122.4
ThirtyWest , Apartment, 1, 2, 3, 0, 87,196, 235.2
TwentyThird , Bungalow, 2, 3, 4, 0, 90,121, 145.2
Hoover , Bungalow, 1, 2, 4, 1, 101,154.5, 92.7
Adams , Bungalow, 1, 2, 4, 1, 87,171, 102.6
Ellendale , Apartment, 3, 4, 8, 1, 95,276, 165.6
Adams , Apartment, 1, 2, 2, 0, 102,165, 198
Adams , Bungalow, 2, 4, 4, 1, 85,201, 120.6
Hoover , Apartment, 1, 2, 3, 1, 88,154.5, 92.7
Menlo , Apartment, 3, 3, 6, 0, 103,151, 181.2
Hoover , Apartment, 3, 5, 6, 1, 97,168, 100.8
Adams , Apartment, 2, 6, 4, 0, 88,111, 133.2
Figueroa , Bungalow, 3, 5, 6, 0, 87,169, 202.8
TwentyThird , Bungalow, 3, 6, 8, 0, 93,126, 151.2
Orchard , Bungalow, 2, 3, 6, 0, 102,140, 168
Ellendale , Apartment, 1, 1, 2, 1, 100,249, 149.4
Vermont , Apartment, 1, 1, 4, 1, 89,154.5, 92.7
Figueroa , Apartment, 1, 2, 4, 1, 97,201, 120.6
Adams , Bungalow, 1, 2, 4, 1, 102,175.5, 105.3
Adams , Bungalow, 1, 2, 2, 0, 103,137, 164.4
Figueroa , Bungalow, 2, 6, 5, 1, 86,250.5, 150.3
Ellendale , Bungalow, 1, 1, 4, 0, 87,185, 222
TwentyThird , Bungalow, 1, 1, 2, 0, 100,163, 195.6
Adams , Apartment, 2, 3, 5, 1, 104,298.5, 179.1
Hoover , Bungalow, 3, 6, 8, 0, 91,170, 204
TwentyThird , Bungalow, 1, 1, 3, 1, 94,211.5, 126.9
ThirtyWest , Apartment, 1, 2, 4, 1, 87,271.5, 162.9
TwentyThird , Apartment, 1, 1, 3, 0, 101,173, 207.6
Orchard , Apartment, 3, 3, 8, 0, 100,178, 213.6
Menlo , Apartment, 2, 4, 5, 1, 85,154.5, 92.7
Adams , Apartment, 3, 6, 8, 1, 96,207, 124.2
ThirtyWest , Apartment, 2, 5, 5, 1, 93,151.5, 90.9
Jefferson , Bungalow, 3, 4, 8, 0, 105,174, 208.8
TwentyThird , Apartment, 3, 5, 8, 0, 93,170, 204
Ellendale , Apartment, 1, 1, 2, 0, 89,125, 150
ThirtyWest , Bungalow, 2, 6, 4, 1, 91,160.5, 96.3
Jefferson , Bungalow, 1, 1, 4, 0, 89,129, 154.8
Figueroa , Apartment, 1, 1, 4, 0, 105,115, 138
TwentyThird , Apartment, 1, 2, 2, 0, 102,150, 180
ThirtyWest , Bungalow, 1, 1, 3, 0, 85,107, 128.4
Menlo , Bungalow, 1, 1, 4, 0, 100,133, 159.6
TwentyThird , Apartment, 3, 3, 7, 1, 92,222, 133.2
TwentyThird , Bungalow, 3, 5, 6, 0, 87,118, 141.6
ThirtyWest , Bungalow, 2, 5, 6, 1, 95,178.5, 107.1
Orchard , Bungalow, 3, 3, 7, 0, 88,133, 159.6
Hoover , Bungalow, 1, 2, 3, 0, 102,185, 222
Jefferson , Apartment, 3, 6, 8, 1, 97,216, 129.6
Figueroa , Apartment, 1, 2, 4, 0, 93,117, 140.4
Vermont , Apartment, 2, 5, 5, 1, 86,205.5, 123.3
TwentyThird , Apartment, 1, 2, 4, 0, 89,197, 236.4
Figueroa , Bungalow, 2, 3, 5, 0, 95,156, 187.2
Vermont , Bungalow, 3, 6, 7, 1, 101,283.5, 170.1
TwentyThird , Bungalow, 2, 3, 4, 1, 92,184.5, 110.7
Orchard , Apartment, 3, 5, 6, 0, 95,182, 218.4
Menlo , Bungalow, 1, 1, 2, 1, 97,183, 109.8
Orchard , Bungalow, 2, 3, 4, 1, 90,190.5, 114.3
Orchard , Bungalow, 2, 4, 6, 0, 93,106, 127.2
Orchard , Apartment, 3, 5, 6, 1, 95,160.5, 96.3
Figueroa , Apartment, 3, 3, 6, 1, 100,262.5, 157.5
Menlo , Apartment, 2, 5, 4, 0, 96,138, 165.6
Adams , Bungalow, 3, 3, 8, 1, 90,184.5, 110.7
Vermont , Bungalow, 3, 4, 6, 0, 103,174, 208.8
Hoover , Apartment, 2, 6, 6, 0, 86,163, 195.6
Menlo , Apartment, 3, 4, 7, 1, 98,265.5, 159.3
Menlo , Apartment, 1, 2, 3, 0, 94,168, 201.6
Figueroa , Apartment, 2, 5, 6, 0, 86,154, 184.8
Ellendale , Apartment, 2, 6, 4, 1, 103,282, 169.2
Hoover , Apartment, 3, 3, 8, 1, 95,294, 176.4
Ellendale , Bungalow, 1, 1, 3, 0, 87,142, 170.4
Vermont , Apartment, 3, 3, 6, 1, 88,225, 135
Hoover , Apartment, 2, 5, 4, 0, 89,177, 212.4
Adams , Bungalow, 2, 6, 6, 0, 104,128, 153.6
Ellendale , Apartment, 1, 1, 3, 1, 85,244.5, 146.7
Figueroa , Apartment, 1, 1, 3, 0, 85,125, 150
ThirtyWest , Bungalow, 3, 5, 6, 1, 92,214.5, 128.7
Figueroa , Bungalow, 2, 5, 5, 0, 95,184, 220.8
Orchard , Apartment, 1, 1, 3, 1, 86,277.5, 166.5
TwentyThird , Apartment, 1, 1, 3, 0, 99,161, 193.2
Menlo , Apartment, 2, 6, 6, 1, 92,262.5, 157.5
ThirtyWest , Apartment, 2, 5, 5, 1, 92,255, 153
Vermont , Apartment, 1, 1, 2, 0, 94,174, 208.8
ThirtyWest , Apartment, 1, 1, 4, 0, 86,181, 217.2
Orchard , Apartment, 2, 6, 6, 0, 89,114, 136.8
Menlo , Apartment, 1, 2, 2, 1, 101,201, 120.6
Adams , Bungalow, 1, 1, 3, 0, 96,101, 121.2
ThirtyWest , Bungalow, 1, 2, 3, 1, 99,295.5, 177.3
ThirtyWest , Apartment, 1, 1, 3, 0, 88,169, 202.8
TwentyThird , Bungalow, 1, 2, 2, 1, 95,205.5, 123.3
Menlo , Bungalow, 1, 1, 2, 0, 85,185, 222
Jefferson , Bungalow, 1, 1, 4, 1, 104,201, 120.6
Figueroa , Apartment, 1, 1, 2, 0, 94,107, 128.4
Hoover , Apartment, 3, 5, 7, 1, 105,190.5, 114.3
TwentyThird , Bungalow, 2, 4, 5, 0, 88,151, 181.2
Vermont , Bungalow, 1, 1, 3, 1, 90,259.5, 155.7
ThirtyWest , Bungalow, 3, 3, 7, 1, 91,291, 174.6
ThirtyWest , Bungalow, 1, 2, 3, 0, 95,169, 202.8
Figueroa , Bungalow, 2, 5, 5, 0, 88,152, 182.4
Orchard , Bungalow, 3, 3, 7, 0, 86,164, 196.8
Hoover , Bungalow, 3, 5, 6, 0, 100,100, 120
Vermont , Apartment, 2, 5, 6, 1, 102,235.5, 141.3
Hoover , Apartment, 2, 3, 5, 1, 96,291, 174.6
Menlo , Bungalow, 2, 5, 4, 1, 85,243, 145.8
TwentyThird , Apartment, 2, 5, 6, 1, 85,238.5, 143.1
Orchard , Apartment, 2, 5, 6, 1, 85,279, 167.4
Hoover , Bungalow, 2, 5, 4, 1, 85,180, 108
Vermont , Bungalow, 1, 1, 3, 0, 100,142, 170.4
Figueroa , Apartment, 3, 4, 8, 0, 88,200, 240
Figueroa , Bungalow, 3, 6, 7, 0, 85,115, 138
Hoover , Bungalow, 1, 2, 3, 1, 98,166.5, 99.9
Hoover , Bungalow, 2, 3, 5, 0, 94,127, 152.4
Orchard , Bungalow, 3, 6, 7, 0, 90,118, 141.6
Menlo , Bungalow, 3, 6, 8, 0, 100,184, 220.8
Hoover , Apartment, 1, 1, 2, 1, 91,211.5, 126.9
Orchard , Apartment, 2, 4, 4, 1, 88,295.5, 177.3
Jefferson , Apartment, 3, 3, 8, 0, 98,131, 157.2
Vermont , Apartment, 3, 4, 8, 1, 89,169.5, 101.7
Vermont , Apartment, 2, 4, 4, 0, 85,143, 171.6
Hoover , Apartment, 2, 4, 5, 1, 104,156, 93.6
Ellendale , Bungalow, 3, 4, 7, 1, 105,255, 153
Figueroa , Bungalow, 3, 4, 7, 0, 105,170, 204
Orchard , Apartment, 2, 5, 6, 1, 93,204, 122.4
Adams , Apartment, 3, 6, 7, 1, 88,283.5, 170.1
Ellendale , Bungalow, 3, 5, 7, 1, 105,225, 135
ThirtyWest , Bungalow, 1, 1, 2, 1, 89,172.5, 103.5
Adams , Bungalow, 1, 2, 4, 0, 98,161, 193.2
Adams , Apartment, 3, 6, 8, 0, 101,187, 224.4
Figueroa , Apartment, 3, 5, 6, 0, 95,183, 219.6
Figueroa , Bungalow, 2, 5, 4, 1, 101,163.5, 98.1
ThirtyWest , Apartment, 1, 2, 3, 0, 101,173, 207.6
Hoover , Bungalow, 2, 4, 4, 0, 99,128, 153.6
Menlo , Bungalow, 2, 6, 5, 0, 102,173, 207.6
Adams , Bungalow, 2, 6, 5, 1, 99,157.5, 94.5
TwentyThird , Apartment, 2, 5, 6, 1, 105,231, 138.6
Jefferson , Apartment, 1, 2, 4, 1, 97,229.5, 137.7
Vermont , Bungalow, 2, 4, 4, 1, 95,210, 126
Figueroa , Bungalow, 2, 3, 6, 1, 104,150, 90
Vermont , Bungalow, 2, 4, 6, 1, 91,256.5, 153.9
Adams , Bungalow, 3, 4, 7, 1, 104,298.5, 179.1
Vermont , Apartment, 1, 1, 3, 1, 92,213, 127.8
Vermont , Apartment, 2, 4, 4, 0, 103,175, 210
Vermont , Bungalow, 2, 3, 6, 1, 105,229.5, 137.7
Adams , Apartment, 2, 5, 4, 0, 104,109, 130.8
Hoover , Bungalow, 1, 1, 3, 1, 104,174, 104.4
Adams , Bungalow, 3, 3, 8, 0, 91,183, 219.6
Vermont , Bungalow, 1, 2, 2, 1, 92,193.5, 116.1
Ellendale , Bungalow, 1, 2, 3, 1, 94,180, 108
TwentyThird , Apartment, 1, 2, 2, 0, 96,115, 138
Vermont , Bungalow, 1, 2, 4, 1, 99,208.5, 125.1
Menlo , Bungalow, 1, 2, 2, 0, 98,168, 201.6
TwentyThird , Bungalow, 1, 2, 3, 0, 89,160, 192
Jefferson , Bungalow, 3, 3, 6, 0, 88,175, 210
Vermont , Apartment, 2, 6, 4, 0, 104,156, 187.2
Ellendale , Apartment, 3, 3, 6, 1, 102,279, 167.4
TwentyThird , Apartment, 1, 1, 4, 0, 105,131, 157.2
Ellendale , Apartment, 1, 2, 3, 0, 92,167, 200.4
Ellendale , Apartment, 2, 5, 5, 1, 105,259.5, 155.7
Figueroa , Bungalow, 3, 5, 7, 0, 100,157, 188.4
Orchard , Bungalow, 3, 6, 7, 0, 98,104, 124.8
Adams , Bungalow, 1, 1, 2, 0, 101,190, 228
Adams , Bungalow, 2, 3, 4, 0, 94,136, 163.2
Menlo , Apartment, 1, 2, 4, 1, 91,286.5, 171.9
Figueroa , Apartment, 2, 6, 4, 1, 100,294, 176.4
TwentyThird , Apartment, 2, 3, 6, 0, 103,134, 160.8
Figueroa , Bungalow, 3, 3, 6, 1, 87,267, 160.2
ThirtyWest , Bungalow, 1, 1, 3, 1, 101,174, 104.4
Figueroa , Bungalow, 1, 2, 3, 1, 102,232.5, 139.5
